state,fy,elem_rev_cr,sec_rev_cr,gen_rev_cr,elem_cap_cr,sec_cap_cr,elem_rev_self_validated,sec_rev_self_validated,gen_rev_self_validated,elem_cap_self_validated,sec_cap_self_validated,source_statement,source_url,elem_rev_source_line,sec_rev_source_line,gen_rev_source_line,elem_cap_source_line,sec_cap_source_line
Mizoram,2023-24,838.8575,484.9473,,,,True,True,False,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Account-Volume-II-2023-24-06810b5976d1b53-48301577.pdf,"Total   01                                                   69,946.63            13,939.1","Total   02                                                   41,645.99             6,848.7","Total   80                                                     1,938.20                   ",201 Elementary Education                                     …            …           …   ,202 Secondary Education                                      …            …           …   
Nagaland,2023-24,1113.6628,722.4293,,5.3584,18.9579,True,True,False,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-2023-24-Vol-II-Ngagaland-7-02-2025-067cfd644ac9668-13339494.pdf,"Total - 01       91,879.11        1,973.63         17,513.54     1,11,366.28    1,00,232.0","Total - 02       68,260.95           399.29         3,582.69      72,242.93       74,371.5","Total - 80                ..      1,887.00                 ..      1,887.00             ..","Total - 201             ..          288.16          247.68         535.84        13,302.05","Total - 202             ..          322.31        1,573.48        1,895.79       18,875.99"
Odisha,2023-24,12061.7473,9262.7079,143.4802,59.4349,101.1208,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-VOLUME-II-067543db0c84406-46036372.pdf,Total - 01                                                1.21                  ..        ,Total - 02                                                        8.27                    ,"Total - 80                                              290.75             9,480.59       ","Total - 201                                                         ..       2,099.25     ","Total - 202                                                         ..       4,351.08     "
Punjab,2023-24,4779.6569,8781.2996,68.6945,365.3191,349.8236,True,True,True,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-Vol-II-2023-24-with-covers-067eb7adbf32a49-64892081.pdf,Total - 01                                                                   ..           ,Total - 02                                                                      29.97     ,Total - 80                                                                        ..      ,"201 Elementary Education                                                   ..       36,531","202 Secondary Education                                           1,092.40          64,076"
Sikkim,2023-24,527.8871,650.8531,,41.5277,5.3446,True,True,False,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-Vol-II-Placed-on-28-03-2025-in-the-House-067ee64a6761211-94704711.pdf,"Total 01                                                    43,383.70         9,405.01    ","Total 02                                                 64,421.45         663.86        6","Total 80                                                             5,493.35             ","201   Elementary Education                                      225.93        4,152.77    ","202   Secondary Education                                     1,669.00          534.46    "
Tamil Nadu,2021-22,16034.3417,15501.5555,1772.2631,,104.9674,True,True,True,False,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FINANCE-ACCOUNTS-2021-22-VOLUME-II-063ce7b89b45f10-33952371.pdf,Total   01 Elementary Education                                            ..             ,Total   02 Secondary Education                                                 ..         ,Total   80 General                                                                     .. ,201       Elementary Education                                                ..          ,"202       Secondary Education                                           17,044.69      10,"
Tamil Nadu,2022-23,19560.3477,17651.2119,1372.1757,,125.7751,True,True,True,False,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accts-Vol-II-22-23-065d8865a395be0-32026989.pdf,Total   01 Elementary Education                                                    ..     ,Total   02 Secondary Education                                                     ..     ,Total   80 General                                                              ..        ,201       Elementary Education                                                 ..         ,"202       Secondary Education                                            10,496.74      12"
Tamil Nadu,2023-24,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FINANCE-ACCOUNTS-VOL-II-2023-24-067582ffdc25bf8-34784230.pdf,,,,,
Tamil Nadu,2024-25,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finnace-Accounts-VOL-II-2024-25-069985791c52995-23338048.pdf,,,,,
Telangana,2023-24,8519.5579,7786.71,89.7133,3.5378,469.1499,True,True,True,False,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-ll-067ecf99b3c24d4-67621206.pdf,"Total- 01                   7,72,194.23            79,761.56         8,51,955.79      7,43","Total- 02                 7,33,038.41            45,632.59         7,78,671.00      7,16,1","Total- 80                      8,971.33                    ...         8,971.33        8,2",Total-     201             899.94            ...           353.78               ...       ,"Total-   202          49,526.18            ...       38,675.45           8,239.54         "
Tripura,2023-24,843.7413,1310.1431,11.3478,,,True,True,True,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2023-24-Tripura-09-01-2025-067e29ce5a1df22-80338579.pdf,"Total - 01                                                         80,418.91              ","Total - 02                                                    1,22,032.34        8,981.97 ","Total - 80                                                        1,134.78               .",Human Development (Kok-Borok Language)                               8.10              …,Land Acquisition                                                  13.10           5.89
Uttar Pradesh,2021-22,44835.2234,9543.0919,228.4555,391.2526,0.0,True,True,True,True,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Account-2021-22-vol-2-0640b0f1e338aa7-47259576.pdf,"Total- 01       38,95,926.68                   5,87,595.66        44,83,522.34     41,78,3","Total- 02        9,53,413.36                       895.83          9,54,309.19       8,25,","Total- 80              7,995.90                 14,849.65           22,845.55          20,","Total-201         1,307.19         37,818.07     39,125.26        1,57,081.74       13,788",Construction of Hostel in selected model schools under Abhinav Schools                    
Uttar Pradesh,2022-23,51087.6051,11288.234,283.127,1381.1083,,True,True,True,True,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2022-23-vol-2-Eng-0656da7f0b985f7-07947392.pdf,"Total- 01        46,07,483.31                  5,01,277.20         51,08,760.51      44,83","Total- 02        11,17,288.35                   11,535.05          11,28,823.40        9,5","Total- 80             11,000.52                 17,312.18            28,312.70          22","Total-201         51,371.61         86,739.22   1,38,110.83       2,95,192.57    39,125.26",202- Secondary Education-concld.
Uttar Pradesh,2023-24,51854.0278,12362.419,209.8714,1285.4574,,True,True,True,True,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-vol-ii-0676579c8dab0a5-03342997.pdf,"Total- 01         48,22,477.72              3,62,925.06              51,85,402.78        5","Total- 02     12,26,652.19                  9,589.71             12,36,241.90      11,28,8","Total- 80         9,632.07                  11,355.07              20,987.14         28,31","Total - 201       64,348.81                 64,196.93   1,28,545.74        4,23,738.31    ",
Uttar Pradesh,2024-25,59989.9844,13105.9306,354.7853,0.0,,True,True,True,False,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2024-25-English-06964e81ab346b6-31688191.pdf,"Total- 01            52,84,129.43           7,14,869.01               59,98,998.44        ","Total- 02           12,91,495.54              19,097.52              13,10,593.06         ","Total- 80                16,674.78            18,803.75                35,478.53          ",Construction of office buildings                                                0.00      ,
Uttarakhand,2023-24,3535.987,5090.0581,68.3325,9.6854,320.9604,True,True,True,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-Vol-2-2023-24-067b71889181d37-07442335.pdf,"Total- 01   3,42,116.28          11,482.42     3,53,598.70   3,39,379.20               (+)","Total- 02   4,14,733.97          94,271.84     5,09,005.81   4,87,119.35              (+)4","Total- 80              3,103.51            3,729.74              6,833.25      6,376.16   ","Total-201          1,000.00             968.54                      ...        968.54     ","Total-202        21,364.10           11,430.83             20,665.21           32,096.04  "
